"","x"
"162",7.26250554425372
"163",7.25132507721678
"164",7.24305090345225
"165",7.23518622433695
"166",7.23469550447994
"167",7.22404687687401
"168",7.21232370299608
"169",7.21071437980263
"170",7.20210807778084
"171",7.19065295916622
"172",7.18201846033079
"173",7.1819863609687
"174",7.17257138308627
"175",7.16336175801494
"176",7.15943149973892
"177",7.13965635727005
"178",7.14577251373147
"179",7.13527194087757
"180",7.12560401389216
"181",7.12753612756015
"182",7.1070325535085
"183",7.10931021154479
"184",7.10293616034591
"185",7.09792358338567
"186",7.09250713887138
"187",7.08451480759139
"188",7.07868435728548
"189",7.06771544982278
"190",7.06435187772652
"191",7.05526196033836
"192",7.04928766404692
"193",7.04981704090155
"194",7.04533519501442
"195",7.03579634697392
"196",7.03386157375177
"197",7.02808541475228
"198",7.02355448721202
"199",7.01368829983112
"200",7.00531165439743
"201",6.99896900517763
"202",6.99242025667869
"203",6.98203944375137
"204",6.97423854320133
"205",6.96587016618309
"206",6.95204272872228
"207",6.95227608048372
"208",6.94987296096193
"209",6.94610737428189
"210",6.93620389758321
"211",6.93297180730916
"212",6.93145858519441
"213",6.91617612560265
"214",6.92243102597907
"215",6.91848231037784
"216",6.90910544477324
"217",6.90824229829684
"218",6.89812744773404
"219",6.89666751088872
"220",6.88666231188552
"221",6.88684265768965
"222",6.88401506487674
"223",6.87316554957429
"224",6.87401517282808
"225",6.84534496764822
"226",6.85671288947167
"227",6.85214649347598
"228",6.84781565558868
"229",6.84624040113363
"230",6.81835136279656
"231",6.82344643574949
"232",6.82213130118663
"233",6.81207878206689
"234",6.80606401323567
"235",6.80099352280295
"236",6.80242853357697
"237",6.79762619138851
"238",6.78979667671046
"239",6.78737120273439
"240",6.77383773056503
"241",6.76791730931387
"242",6.76791533241375
"243",6.75469231720601
"244",6.75659780625537
"245",6.74406861093777
"246",6.74328343965494
"247",6.73593127611683
"248",6.71928423140819
"249",6.72154073369326
"250",6.71893635759688
"251",6.71537465374539
"252",6.7039392342544
"253",6.70468166739608
"254",6.7000452961951
"255",6.69467742593077
"256",6.69538349346391
"257",6.69160214130676
"258",6.68270855091742
"259",6.66894928787561
"260",6.67571459717915
"261",6.66295719229179
"262",6.66134815951067
"263",6.65730976332729
"264",6.64979449854777
"265",6.64770211192193
"266",6.6464398297052
"267",6.64108529633898
"268",6.63489366109705
"269",6.62564857071405
"270",6.61638390746307
"271",6.61844232700405
"272",6.61382953070399
"273",6.56694651934535
"274",6.60292982887783
"275",6.59594488018642
"276",6.59513914332783
"277",6.58989330159789
"278",6.57984211417776
"279",6.58517794125615
"280",6.57951128599223
"281",6.57480861809468
"282",6.567486965148
"283",6.55997332877556
"284",6.55909369886704
"285",6.55245783767672
"286",6.54106718688707
"287",6.53755979334507
"288",6.53091667527443
"289",6.52828987367041
"290",6.52113517675387
"291",6.51438614476919
"292",6.50746030214906
"293",6.50834779267904
"294",6.50640482113177
"295",6.50104110289065
"296",6.49584402533535
"297",6.48018579609
"298",6.48209752287787
"299",6.47440175599149
"300",6.47242784958262
"301",6.46449904686382
"302",6.46157888946878
"303",6.45834296579838
"304",6.4437218134068
"305",6.43900349278017
"306",6.42843332519119
"307",6.43656646486925
"308",6.39814238342445
"309",6.42464604673307
"310",6.42247070997298
"311",6.41385479046788
"312",6.4143942984344
"313",6.40638449320069
"314",6.40217725146554
"315",6.39743629964333
"316",6.38377214554623
"317",6.38541916475546
"318",6.37957789073956
"319",6.37704871481277
"320",6.37479005019979
"321",6.36080364412921
"322",6.36332977964109
"323",6.35479444628968
"324",6.35710692330296
"325",6.34489712569894
"326",6.34111013390779
"327",6.33426915919152
"328",6.32221680423394
"329",6.32460301148562
"330",6.31660777822972
"331",6.31366127032591
"332",6.30175939259613
"333",6.30281683059058
"334",6.29670609274757
"335",6.28607876288494
"336",6.29213084413407
"337",6.28644090688087
"338",6.28571337739008
"339",6.27013591963435
"340",6.25933506279461
"341",6.25860210752279
"342",6.24827662938121
"343",6.25139750044925
"344",6.24745285861064
"345",6.24600960547467
"346",6.23489693336287
"347",6.22413260741176
"348",6.22268403126665
"349",6.20659267245527
"350",6.2081776666859
"351",6.19815103829324
"352",6.20419626131357
"353",6.18718163059122
"354",6.18211810409258
"355",6.1734140370235
"356",6.171357792039
"357",6.1728122731693
"358",6.15799383975733
"359",6.16220644091336
"360",6.15383112342945
"361",6.14885982136521
"362",6.10182907683693
"363",6.11488351150816
"364",6.11678475491235
"365",6.12279797997096
"366",6.09569488123156
"367",6.06793017967583
"368",6.04194923371495
"369",6.08333159633719
"370",6.0849088811518
"371",6.06729835487714
"372",6.04072464292927
"373",6.07246070959915
"374",6.05112250887257
"375",6.03140843357259
"376",6.04404382514309
"377",6.04090955470261
"378",6.03174766300622
"379",5.80187994781298
"380",6.01392730936537
"381",5.99271456983536
"382",5.99307750261036
"383",5.99762760999752
"384",5.99819814994232
"385",5.99440905264105
"386",5.97770328305885
"387",5.92026768120074
"388",5.95293122852992
"389",5.9407922988756
"390",5.86209210158694
"391",5.94417082080359
"392",5.8514159694317
"393",5.90256515238269
"394",5.90245541377718
